campo_padronizado,coluna_original_2023,coluna_original_2024,coluna_original_2025_2026,anos_presente
DAX,,,4.c.8_DAX,1
LLM_tmp_gasto_cientista,"('P8_d_12 ', 'Treinando e aplicando LLM's para solucionar problemas de negócio.')",8.d.12_Treinando e aplicando LLM's para solucionar problemas de negócio.,8.d.12_Treinando e aplicando LLM's para solucionar problemas de negócio.,3
NLP_dados_nao_estruturados,"('P8_b_5 ', 'Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados')",8.b.5_Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados.,8.b.5_Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados.,3
SSIS,,6.b.16_SQL Server Integration Services (SSIS),6.b.16_SQL Server Integration Services (SSIS),2
ad_hoc_hipoteses_tmp_gasto_cientista,"('P8_d_1 ', 'Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.')","8.d.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.","8.d.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.",3
alta_direcao_nao_ve_valor_prioridade,"('P3_g_8 ', 'Alta direção da empresa não vê valor ou não vê como prioridade')",3.g.8 Alta direção da empresa não vê valor ou não vê como prioridade,3.h.8 Alta direção da empresa não vê valor ou não vê como prioridade,3
alteryx,"('P4_j_11 ', 'Alteryx')",4.j.10_Alteryx,4.g.10_Alteryx,3
alteryx_analista,"('P6_b_9 ', 'Alteryx')",7.b.9_Alteryx,7.b.9_Alteryx,3
amazon_athena,"('P4_g_25 ', 'Amazon Athena')",4.g.25_Amazon Athena,4.d.25_Amazon Athena,3
amazon_aurora_rds,"('P4_g_4 ', 'Amazon Aurora ou RDS')",4.g.4_Amazon Aurora ou RDS,4.d.4_Amazon Aurora ou RDS,3
amazon_quicksight,"('P4_j_9 ', 'Amazon Quicksight')",4.j.9_Amazon Quicksight,4.g.9_Amazon Quicksight,3
amazon_redshift,"('P4_g_24 ', 'Amazon Redshift')",4.g.24_Amazon Redshift,4.d.24_Amazon Redshift,3
ambiente_clima_trabalho_escolha_emprego,"('P2_o_5 ', 'Ambiente e clima de trabalho')",2.o.5_Ambiente e clima de trabalho,2.o.5_Ambiente e clima de trabalho,3
ambiente_clima_trabalho_insatisfacao,,2.l.5_Ambiente e clima de trabalho,2.l.5_Ambiente e clima de trabalho,2
ambiente_local_jupyter_anaconda,"('P8_c_3 ', 'Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda)')","8.c.3_Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda).","8.c.3_Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda).",3
analise_dados_rotina,"('P7_1 ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual com análise de dados?')",7.a_rotina_como_da,7.a_rotina_como_da,3
analise_processamento_linguagem_prog,"('P7_a_1 ', 'Processo e analiso dados utilizando linguagens de programação como Python, R etc.')","7.a.1_Processo e analiso dados utilizando linguagens de programação como Python, R etc.","7.a.1_Processo e analiso dados utilizando linguagens de programação como Python, R etc.",3
analise_requisitos_area_negocio,"('P8_a_3 ', 'Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.')","8.a.3_Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.","8.a.3_Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",3
analise_requisitos_tmp_gasto_cientista,"('P8_d_3 ', 'Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.')","8.d.3_Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.","8.d.3_Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",3
analista_bi,"('P3_b_6 ', 'Analista de Business Intelligence/BI')",3.b.6_Analista de Business Intelligence/BI,3.b.6_Analista de Business Intelligence/BI,3
analista_business,"('P3_b_9 ', 'Business Analyst')",3.b.9_Business Analyst,3.b.9_Business Analyst,3
analista_dados,"('P3_b_3 ', 'Analista de Dados/Data Analyst')",3.b.3_Analista de Dados/Data Analyst,3.b.3_Analista de Dados/Data Analyst,3
apache_airflow,"('P6_b_3 ', 'Apache Airflow')",6.b.3_Apache Airflow,6.b.3_Apache Airflow,3
apache_airflow_analista,"('P7_b_3 ', 'Apache Airflow')",7.b.3_Apache Airflow,7.b.3_Apache Airflow,3
apache_nifi,"('P6_b_4 ', 'Apache NiFi')",6.b.4_Apache NiFi,6.b.4_Apache NiFi,3
apache_nifi_analista,"('P7_b_4 ', 'Apache NiFi')",7.b.4_Apache NiFi,7.b.4_Apache NiFi,3
aprendizado_reforco,"('P8_b_10 ', 'Utilizo modelos de Reinforcement Learning (aprendizado por reforço)')",8.b.10_Utilizo modelos de Reinforcement Learning (aprendizado por reforço).,8.b.10_Utilizo modelos de Reinforcement Learning (aprendizado por reforço).,3
aprov_processos_seletivos_entrevistas,"('P1_f_3', 'Aprovação em processos seletivos/entrevistas')",1.f.3_Aprovação em processos seletivos/entrevistas,1.f.3_Aprovação em processos seletivos/entrevistas,3
area_formacao,"('P1_m ', 'Área de Formação')",1.m_área_de_formação,1.m_área_de_formação,3
arquiteto_dados,"('P3_b_7 ', 'Arquiteto de Dados/Data Architect')",3.b.7_Arquiteto de Dados/Data Architect,3.b.7_Arquiteto de Dados/Data Architect,3
aspectos_prejud,"('P1_f ', 'aspectos_prejudicados')",1.f_aspectos_prejudicados,1.f_aspectos_prejudicados,3
atencao_opiniao_ideias,"('P1_f_7', 'Atenção dada diante das minhas opiniões e ideias')",1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias,1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias,3
atitude_perante_100_presencial,"('P2_t ', 'Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?')",2.t_atitude_em_caso_de_retorno_presencial,2.s_atitude_em_caso_de_retorno_presencial,3
atuacao,"('P4_a_1 ', 'Atuacao')",4.a.1_atuacao_em_dados,4.a.1_atuacao_em_dados,3
audio,"('P4_b_6 ', 'Áudios')",4.b.6_Áudios,4.b.6_Áudios,3
audio_fonte,"('P4_c_6 ', 'Áudios')",4.c.6_Áudios,,2
auto_ml_cientista,"('P8_c_5 ', 'Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc)')","8.c.5_Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc).","8.c.5_Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc).",3
aws,"('P4_h_2 ', 'Amazon Web Services (AWS)')",4.h.1_Amazon Web Services (AWS),4.e.1_Amazon Web Services (AWS),3
aws_glue,"('P6_b_6 ', 'AWS Glue')",6.b.6_AWS Glue,6.b.6_AWS Glue,3
aws_glue_analista,"('P7_b_6 ', 'AWS Glue')",7.b.6_AWS Glue,7.b.6_AWS Glue,3
azure,"('P4_h_1 ', 'Azure (Microsoft)')",4.h.3_Azure (Microsoft),4.e.3_Azure (Microsoft),3
banco_no_sql,"('P4_b_2 ', 'Dados armazenados em bancos NoSQL')",4.b.2_Dados armazenados em bancos NoSQL,4.b.2_Dados armazenados em bancos NoSQL,3
banco_no_sql_fonte,"('P4_c_2 ', 'Dados armazenados em bancos NoSQL')",4.c.2_Dados armazenados em bancos NoSQL,,2
banco_relacional,"('P4_b_1 ', 'Dados relacionais (estruturados em bancos SQL)')",4.b.1_Dados relacionais (estruturados em bancos SQL),4.b.1_Dados relacionais (estruturados em bancos SQL),3
banco_relacional_fonte,"('P4_c_1 ', 'Dados relacionais (estruturados em bancos SQL)')",4.c.1_Dados relacionais (estruturados em bancos SQL),,2
banco_relacional_utilizado,"('P4_g ', 'Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?')",4.g_banco_de_dados_(dia_a_dia),4.d_banco_de_dados_(dia_a_dia),3
beneficios_escolha_emprego,"('P2_o_2 ', 'Benefícios')",2.o.2_Benefícios,2.o.2_Benefícios,3
beneficios_insatisfacao,,2.l.2_Benefícios,2.l.2_Benefícios,2
birst,"('P4_j_17 ', 'Birst')",,,1
busca_empreg_area_dados,"('P5_d ', 'Como tem sido a busca por um emprego na área de dados?')",5.d_experiencia_em_processos_seletivos,5.d_experiencia_em_processos_seletivos,3
cadeias_markov_hmm_analise_dados,"('P8_b_7 ', 'Utilizo cadeias de Markov ou HMM's para realizar análises de dados')",8.b.7_Utilizo cadeias de Markov ou HMM\s para realizar análises de dados.,8.b.7_Utilizo cadeias de Markov ou HMM\s para realizar análises de dados.,3
cargo_atual,"('P2_f ', 'Cargo Atual')",2.f_cargo_atual,2.f_cargo_atual,3
cargo_gestor,"('P2_e ', 'Cargo como Gestor')",2.e_cargo_como_gestor,2.e_cargo_como_gestor,3
cassandra,"('P4_g_7 ', 'Cassandra')",4.g.7_Cassandra,4.d.7_Cassandra,3
ccc,"('P4_d_4 ', 'C/C++/C#')",4.d.4_C/C++/C#,4.c.4_C/C++/C#,3
cientista_dados,"('P3_b_4 ', 'Cientista de Dados/Data Scientist')",3.b.4_Cientista de Dados/Data Scientist,3.b.4_Cientista de Dados/Data Scientist,3
clima_trabalho_ruim_insatisfacao,"('P2_l_6 ', 'O clima de trabalho/ambiente não é bom')",,,1
cloud_dia_dia,,4.h_cloud_(dia_a_dia),4.e_cloud_(dia_a_dia),2
cloud_preferida,"('P4_h ', 'Dentre as opções listadas, qual sua Cloud preferida?')",4.i_cloud_preferida,4.f_cloud_preferida,3
cloud_preferida_top_choice,"('P4_i ', 'Cloud preferida')",,,1
cloud_proprietaria,"('P4_h_7 ', 'Cloud Própria')",4.h.7_Cloud Própria,4.e.7_Cloud Própria,3
coach_db,"('P4_g_6 ', 'CoachDB')",4.g.6_CoachDB,4.d.6_CoachDB,3
colaboradores_uso_ia_descentra_independ,,3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,2
coleta_limpeza_cientista,"('P8_d_2 ', 'Coletando e limpando os dados que uso para análise e modelagem.')",8.d.2_Coletando e limpando dos dados que uso para análise e modelagem.,8.d.2_Coletando e limpando dos dados que uso para análise e modelagem.,3
coleta_limpeza_modelagem_analise,"('P8_a_2 ', 'Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.')",8.a.2_Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.,8.a.2_Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.,3
construcao_dashboard_ferramenta_bi_analista,"('P7_a_2 ', 'Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.')","8.a.7_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik, etc","8.a.7_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik, etc",3
contratacao_area_dados,"('P3_c_3 ', 'Atração, seleção e contratação de talentos para o time de dados.')","3.c.3_Atração, seleção e contratação","3.c.3_Atração, seleção e contratação",3
contratacao_ferramentas_dados,"('P3_c_4 ', 'Decisão sobre contratação de ferramentas e tecnologias relacionadas a dados.')",3.c.4_Decisão sobre contratação de ferramentas,3.c.4_Decisão sobre contratação de ferramentas,3
contratar_novos_talentos,"('P3_d_1 ', 'a Contratar novos talentos.')",3.d.1_Contratar talentos,3.d.1_Contratar talentos,3
controle_de_versao_cientista,"('P8_c_9 ', 'Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc)')","8.c.9_Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc).","8.c.9_Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc).",3
convencer_aumentar_invest_dados,"('P3_d_3 ', 'c Convencer a empresa a aumentar os investimentos na área de dados.')",3.d.3_Convencer a empresa a aumentar investimentos,3.d.3_Convencer a empresa a aumentar investimentos,3
cor_raca_etnia,"('P1_c ', 'Cor/raca/etnia')",1.c_cor/raca/etnia,1.c_cor/raca/etnia,3
criacao_componentes_ingestao_dados,"('P6_a_5 ', 'Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')","6.a.5_Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.","6.a.5_Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",3
criacao_gerencia_feature_store_mlops,"('P8_a_10 ', 'Crio e gerencio soluções de Feature Store e cultura de MLOps.')",8.a.10_Crio e gerencio soluções de Feature Store e cultura de MLOps.,8.a.10_Crio e gerencio soluções de Feature Store e cultura de MLOps.,3
criacao_manun_etl_dags_automacoes,"('P8_a_9 ', 'Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.')","8.a.9_Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.","8.a.9_Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.",3
criacao_manutencao_etl_analista,"('P7_d_6 ', 'Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.')","7.d.6_Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.","7.d.6_Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",3
criacao_treinamento_llm,"('P8_a_12 ', 'Treino e aplico LLM's para solucionar problemas de negócio.')",8.a.12_Treino e aplico LLM's para solucionar problemas de negócio.,8.a.12_Treino e aplico LLM's para solucionar problemas de negócio.,3
dados_empresa_nao_prep_ia_gen,"('P3_g_6 ', 'Dados da empresa não estão prontos para uso de IA Generativa')",3.g.6 Dados da empresa não estão prontos para uso de IA Generativa,3.h.6 Dados da empresa não estão prontos para uso de IA Generativa,3
dados_streaming_data_lake_lakehouse,"('P6_h_6 ', 'Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')",6.h.6_Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,6.h.6_Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,3
dashboard_ferramentas_bi,,"7.a.2_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.","7.a.2_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",2
dashboards_ferramenta_bi_analista,"('P7_d_2 ', 'Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.')","7.d.2_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.","7.d.2_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",3
dashboards_ferramenta_bi_tmp_gasto_cientista,"('P8_d_7 ', 'Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik, etc.')","8.d.7_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik, etc.","8.d.7_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik, etc.",3
dashboards_script_analista,"('P7_d_1 ', 'Processando e analisando dados utilizando linguagens de programação como Python, R etc.')","7.d.1_Processando e analisando dados utilizando linguagens de programação como Python, R etc.","7.d.1_Processando e analisando dados utilizando linguagens de programação como Python, R etc.",3
data_apps_cientista,"('P8_c_10 ', 'Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc)')","8.c.10_Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc).","8.c.10_Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc).",3
data_hora_envio,,0.d_data/hora_envio,0.d_data/hora_envio,2
data_product_manager,"('P3_b_8 ', 'Data Product Manager/DPM')",3.b.8_Data Product Manager/DPM,3.b.8_Data Product Manager/DPM,3
databricks,"('P4_g_27 ', 'Databricks')",4.g.27_Databricks,4.d.27_Databricks,3
databricks_analista,"('P6_b_20 ', 'Databricks')",7.b.20_Databricks,7.b.20_Databricks,3
datomic,"('P4_g_10 ', 'Datomic')",4.g.10_Datomic,4.d.10_Datomic,3
db2,"('P4_g_14 ', 'DB2')",4.g.14_DB2,4.d.14_DB2,3
dba,"('P3_b_5 ', 'Database Administrator/DBA')",3.b.5_Database Administrator/DBA,3.b.5_Database Administrator/DBA,3
